iter	Passed	Remaining
0	194	194245
1	209	104497
2	220	73378
3	229	57187
4	236	46964
5	242	40128
6	251	35649
7	258	32002
8	265	29236
9	271	26876
10	279	25101
11	285	23490
12	292	22201
13	298	21018
14	304	19988
15	311	19180
16	318	18401
17	325	17753
18	333	17235
19	341	16714
20	347	16191
21	353	15708
22	360	15319
23	366	14914
24	375	14633
25	381	14280
26	387	13956
27	396	13758
28	402	13477
29	409	13250
30	415	12998
31	424	12830
32	430	12603
33	436	12389
34	443	12233
35	449	12033
36	457	11895
37	463	11722
38	470	11584
39	476	11437
40	482	11295
41	490	11182
42	496	11046
43	502	10915
44	508	10794
45	515	10698
46	523	10611
47	529	10510
48	537	10426
49	543	10333
50	550	10236
51	557	10162
52	563	10072
53	571	10010
54	578	9939
55	586	9878
56	591	9792
57	598	9713
58	606	9668
59	612	9589
60	619	9543
61	626	9472
62	634	9438
63	640	9368
64	646	9300
65	654	9258
66	660	9198
67	668	9161
68	674	9100
69	680	9042
70	687	8997
71	693	8940
72	702	8921
73	708	8868
74	717	8852
75	724	8807
76	733	8796
77	740	8753
78	748	8729
79	757	8712
80	767	8706
81	773	8661
82	781	8632
83	787	8591
84	794	8556
85	801	8515
86	807	8473
87	815	8447
88	821	8405
89	828	8381
90	835	8341
91	841	8301
92	848	8277
93	854	8236
94	861	8210
95	868	8178
96	874	8143
97	881	8111
98	887	8075
99	895	8055
100	901	8024
101	909	8004
102	915	7972
103	921	7938
104	928	7916
105	935	7886
106	942	7866
107	948	7834
108	955	7807
109	963	7794
110	970	7774
111	978	7761
112	985	7739
113	994	7727
114	1001	7708
115	1010	7699
116	1018	7686
117	1028	7684
118	1035	7664
119	1044	7656
120	1051	7638
121	1060	7632
122	1067	7614
123	1076	7604
124	1083	7587
125	1092	7575
126	1098	7551
127	1106	7535
128	1113	7520
129	1120	7499
130	1126	7475
131	1132	7450
132	1140	7434
133	1146	7409
134	1153	7389
135	1159	7365
136	1165	7341
137	1173	7327
138	1179	7304
139	1186	7288
140	1192	7266
141	1199	7245
142	1206	7230
143	1212	7208
144	1220	7197
145	1227	7178
146	1234	7165
147	1242	7151
148	1248	7131
149	1256	7119
150	1263	7106
151	1272	7098
152	1278	7077
